timestamp,elapsed_s,backend_cpu_pct,backend_rss_mb,backend_private_mb,backend_threads,backend_handles,jmeter_cpu_pct,jmeter_rss_mb,system_avail_mb,tcp_established_3000
2026-08-16 21:33:37,2,0,69.7,63.1,16,214,0,302.5,2725,13
2026-08-16 21:33:41,6,0.3,73.2,74.6,16,236,1.6,278.4,2721,32
2026-08-16 21:33:45,10,0.3,77.3,74.8,16,256,1.4,280.8,2704,52
2026-08-16 21:33:49,14,0.6,67.9,62.3,16,277,1.1,297.1,2741,73
2026-08-16 21:33:53,19,1.2,79,80.8,16,298,1.3,308.4,2691,94
2026-08-16 21:33:58,23,1.2,87.3,99.1,16,320,0.9,301.8,2593,116
2026-08-16 21:34:02,28,1.7,102.6,101.8,16,344,1.1,316.7,2594,140
2026-08-16 21:34:07,33,1.8,102.8,101.7,13,359,1.3,353.4,2549,150
2026-08-16 21:34:12,38,1.9,103.2,102.7,13,359,0.7,399,2500,150
2026-08-16 21:34:17,43,1.9,104,103.2,13,359,0.6,430.5,2485,150
2026-08-16 21:34:22,48,1.9,104.3,104.1,13,359,0.7,446.1,2451,150
2026-08-16 21:34:27,53,1.9,105.5,104.2,13,359,1,437.5,2487,150
2026-08-16 21:34:32,58,1.9,105.6,104.1,13,359,1.6,423.9,2525,150
2026-08-16 21:34:37,63,1.8,105.9,104.5,13,359,1.5,470.4,2462,150
2026-08-16 21:34:43,68,2,106,105.5,13,359,0.7,499.6,2491,150
2026-08-16 21:34:48,73,2,106.2,104.9,13,360,0.6,531.8,2468,150
2026-08-16 21:34:53,78,2.1,105.8,104.4,13,359,0.5,565,2447,150
2026-08-16 21:34:58,83,2.1,106.5,105.3,13,359,0.5,622.8,2274,150
2026-08-16 21:35:03,88,1.8,106.8,105.1,13,359,0.6,662.6,2261,150
2026-08-16 21:35:08,94,1.9,106.4,104.6,13,359,0.3,662.7,2273,150
2026-08-16 21:35:14,99,2.1,106.7,105.8,13,359,0.5,664.4,2410,150
2026-08-16 21:35:19,104,1.8,106.9,105.4,13,359,0.3,664.4,2404,150
2026-08-16 21:35:24,109,1.8,107.1,105.5,13,359,0.3,665.3,2383,150
2026-08-16 21:35:29,115,2,107,105.5,13,359,0.5,686.8,2450,150
2026-08-16 21:35:35,120,1.7,106.4,104.6,13,359,0.4,666.1,2459,150
2026-08-16 21:35:40,125,1.9,107.1,105.2,13,359,0.6,687.8,2425,149
2026-08-16 21:35:45,131,1.8,106.3,104.3,13,359,0.4,670.1,2470,150
2026-08-16 21:35:51,136,1.9,106.6,104.6,12,359,0.4,688.2,2451,150
2026-08-16 21:35:56,142,1.8,106.8,105.1,12,359,0.5,731.5,2412,150
2026-08-16 21:36:02,147,1.7,106.5,105,12,359,1,791.3,2244,150
2026-08-16 21:36:07,153,2.1,106.7,104.9,12,359,0.5,792.5,2258,150
2026-08-16 21:36:13,158,1.8,106.7,104.9,12,359,0.3,792.7,2256,150
2026-08-16 21:36:19,164,1.8,106.3,104.4,12,359,0.4,795.3,2247,150
2026-08-16 21:36:24,170,1.8,106.8,105.5,12,359,0.3,795.3,2238,150
2026-08-16 21:36:30,175,2,106.5,104.6,12,359,0.5,795.9,2299,150
2026-08-16 21:36:36,181,1.8,106.3,104.5,12,359,0.3,795.9,2235,150
2026-08-16 21:36:42,187,2.1,106.4,104.5,12,359,0.3,795.9,2279,150
2026-08-16 21:36:48,193,1.7,107.3,105.5,12,359,0.4,797.8,2281,150
2026-08-16 21:36:54,199,1.7,106.5,104.5,12,359,0.3,798.9,2268,150
2026-08-16 21:36:59,205,2.3,106.8,104.9,12,359,0.4,803.7,2184,150
2026-08-16 21:37:05,210,1.9,106.6,105.1,12,359,0.4,824,2136,150
2026-08-16 21:37:11,216,1.9,106.9,105,12,359,0.3,828.1,2155,150
2026-08-16 21:37:17,222,2.1,106.7,104.7,12,359,0.3,829,2139,150
2026-08-16 21:37:22,228,1.9,106.7,104.8,12,359,0.5,832.7,2152,150
2026-08-16 21:37:28,234,1.9,107.2,105.7,12,360,0.4,833.2,2207,150
2026-08-16 21:37:34,239,2.2,107.1,105.2,12,360,0.4,833.2,2194,150
2026-08-16 21:37:40,245,1.9,107.7,107.3,12,359,0.4,833.2,2184,150
2026-08-16 21:37:46,251,2.1,107.3,105.3,12,359,0.3,833.2,2182,150
2026-08-16 21:37:51,257,2.1,107.2,105.2,12,359,0.2,833.2,2181,150
2026-08-16 21:37:57,263,2,106.8,104.7,12,359,0.4,833.2,2093,150
2026-08-16 21:38:03,269,2,107.1,105.2,12,359,0.3,837.4,2071,150
2026-08-16 21:38:09,275,2,107.1,105.5,12,359,0.4,842.5,2081,150
2026-08-16 21:38:15,280,2.1,107.5,106.2,12,359,0.4,842.7,2079,150
2026-08-16 21:38:21,286,1.8,107,105.2,12,359,0.4,842.7,2082,150
2026-08-16 21:38:27,292,2.2,107.2,105.1,12,359,0.3,842.7,2084,150
2026-08-16 21:38:32,298,2.1,107.1,105.1,12,359,0.3,842.7,2157,150
2026-08-16 21:38:38,303,2.1,108,105.9,14,359,0.4,842.9,2201,150
2026-08-16 21:38:44,309,2.2,107.7,105.5,14,359,0.3,842.9,2197,150
2026-08-16 21:38:49,315,1.8,107.7,105.5,14,359,0.3,842.9,2206,150
2026-08-16 21:38:55,321,2.2,108.1,105.9,14,359,0.3,842.9,2175,150
2026-08-16 21:39:01,326,2.1,107.7,105.6,14,359,0.3,842.9,2082,150
2026-08-16 21:39:07,332,2.2,108.3,106.3,14,359,0.3,846.5,2095,150
2026-08-16 21:39:12,338,2,107.6,105.5,14,359,0.4,846.5,2087,150
2026-08-16 21:39:18,344,2.2,107.9,105.8,14,359,0.3,846.5,2099,150
2026-08-16 21:39:24,349,2.3,107.7,105.6,14,359,0.3,846.5,2100,150
2026-08-16 21:39:30,355,2,108.1,106,14,359,0.5,846.5,2130,150
2026-08-16 21:39:35,361,2.4,108.1,106,14,359,0.5,846.5,2160,150
2026-08-16 21:39:41,367,2.1,107.6,105.7,14,359,0.3,846.5,2153,150
2026-08-16 21:39:47,372,2.2,108.2,106.1,14,359,0.4,846.5,2164,150
2026-08-16 21:39:53,378,2.2,107.9,106,14,359,0.4,846.5,2193,150
2026-08-16 21:39:59,384,2.1,108.2,106.3,14,359,0.2,846.5,2101,150
2026-08-16 21:40:04,390,2.1,108.1,106,14,359,0.3,846.6,2106,150
2026-08-16 21:40:10,396,2,108.4,106.3,14,359,0.4,848.8,2120,150
2026-08-16 21:40:16,401,2.3,108.4,106.1,12,359,0.4,848.8,2358,150
2026-08-16 21:40:22,407,2.3,108,106.2,12,359,0.3,848.7,2352,150
2026-08-16 21:40:28,413,2.2,108.6,106.5,12,359,0.4,848.7,2384,150
2026-08-16 21:40:33,419,2.2,108.9,106.9,12,359,0.4,848.7,2396,150
2026-08-16 21:40:39,425,2.1,107.9,105.9,12,359,0.2,848.7,2408,150
2026-08-16 21:40:45,430,2,108.7,106.5,12,359,0.3,848.7,2401,150
2026-08-16 21:40:51,436,2.1,108.5,106.4,12,359,0.4,848.7,2405,150
2026-08-16 21:40:57,442,2.2,108.2,105.9,12,359,0.3,848.7,2340,150
2026-08-16 21:41:02,448,2.6,113.6,112.4,12,359,0.5,848.8,2313,150
2026-08-16 21:41:08,454,2.2,112.8,111.8,12,359,0.5,849.4,2316,150
2026-08-16 21:41:14,460,2.1,114.3,112.5,12,359,0.3,849.4,2317,150
2026-08-16 21:41:20,466,2,113.6,112.1,12,359,0.4,849.4,2310,150
2026-08-16 21:41:26,471,2.3,113.7,111.7,12,359,0.4,849.4,2319,150
2026-08-16 21:41:32,477,2.1,114.7,113.2,12,359,0.4,849.4,2409,150
2026-08-16 21:41:38,483,2.4,115.4,113.2,12,359,0.3,850.3,2398,150
2026-08-16 21:41:43,489,2,114.3,112.4,12,359,0.3,850.3,2413,150
2026-08-16 21:41:49,495,2.2,114.1,112.1,12,359,0.2,850.3,2371,150
2026-08-16 21:41:55,501,2.3,113.9,112.3,12,359,0.4,850.3,2385,150
2026-08-16 21:42:01,506,2.4,113.4,111.4,12,360,0.3,850.3,2199,150
2026-08-16 21:42:07,512,2.7,114.3,112.1,12,359,0.5,775.5,2584,150
2026-08-16 21:42:13,518,2.3,114.2,112.3,12,359,0.6,686.8,2639,150
2026-08-16 21:42:18,524,2,114.2,112.3,12,359,0.4,701.4,2627,150
2026-08-16 21:42:24,530,2.3,114.3,112.8,12,359,0.3,715.4,2600,150
2026-08-16 21:42:30,535,1.9,114,112.6,12,359,0.4,729.1,2667,150
2026-08-16 21:42:36,541,1.9,114.1,112.8,12,359,0.3,742.3,2643,150
2026-08-16 21:42:42,547,2.2,114.3,112.3,12,359,0.3,756.1,2635,150
2026-08-16 21:42:47,553,2.2,114.6,113.3,12,359,0.3,770.3,2619,150
2026-08-16 21:42:53,559,2.2,114.4,112.4,12,360,0.5,783.8,2631,150
2026-08-16 21:42:59,565,2.5,114,112.9,12,359,0.4,798.1,2476,150
2026-08-16 21:43:05,570,2.1,114.8,113.4,12,359,0.4,807.5,2478,150
2026-08-16 21:43:11,576,2.4,113.7,111.9,12,359,0.4,812.1,2472,150
2026-08-16 21:43:16,581,2.2,114.5,112.6,12,359,0.2,812.1,2465,150
2026-08-16 21:43:22,587,2.3,114.4,112.8,12,359,0.4,812.1,2451,150
2026-08-16 21:43:27,592,2.1,114.8,113.5,12,359,0.4,812.1,2442,150
2026-08-16 21:43:32,598,2.3,114.9,113.7,12,359,0.3,812.1,2264,150
2026-08-16 21:43:38,603,2,115.1,113.8,14,359,0.3,812.1,2334,150
2026-08-16 21:43:43,609,2.3,115.7,114.1,14,359,0.3,812.1,2318,150
2026-08-16 21:43:49,614,2.4,114.7,113,14,359,0.2,812.1,2356,150
2026-08-16 21:43:54,620,2.4,114.7,112.7,14,359,0.3,812.1,2386,150
2026-08-16 21:44:00,625,2.5,113.8,111.9,14,359,0.3,812.1,2310,150
2026-08-16 21:44:05,631,2.2,114.5,112.6,14,360,0.4,812.3,2308,150
2026-08-16 21:44:11,636,2.5,114.5,112.9,14,359,0.4,814.2,2291,150
2026-08-16 21:44:17,642,2.4,115.1,113.2,14,359,0.3,814.2,2323,150
2026-08-16 21:44:22,647,2.2,114.4,112.4,14,359,0.4,814.2,2287,150
2026-08-16 21:44:28,653,2.4,115.2,113.2,14,359,0.4,814.2,2291,150
2026-08-16 21:44:33,659,2.2,114.8,112.7,14,359,0.4,814.2,2333,150
2026-08-16 21:44:39,664,2.3,114.6,112.7,14,359,0.4,814.2,2359,150
2026-08-16 21:44:45,670,2.3,115.2,113.4,12,359,0.3,814.2,2470,150
2026-08-16 21:44:50,676,2.3,115.7,114.6,12,359,0.3,814.1,2475,150
2026-08-16 21:44:56,681,2.3,115.3,113.7,12,359,0.4,814.1,2475,150
2026-08-16 21:45:01,687,2.7,115.2,113.7,12,359,0.3,814.1,2373,150
2026-08-16 21:45:07,692,2.4,114.1,112.4,12,359,0.4,814.3,2386,150
2026-08-16 21:45:12,698,2.3,116.4,115.1,12,359,0.2,814.3,2423,150
2026-08-16 21:45:18,703,2.5,115.5,113.4,12,359,0.3,814.3,2554,150
2026-08-16 21:45:24,709,2.4,114.9,112.7,12,359,0.4,814.3,2517,150
