timestamp,elapsed_s,backend_cpu_pct,backend_rss_mb,backend_private_mb,backend_threads,backend_handles,jmeter_cpu_pct,jmeter_rss_mb,system_avail_mb,tcp_established_3000
2026-08-16 21:28:51,2,0,70.1,63.5,16,212,0,341.4,2664,6
2026-08-16 21:28:56,7,0.1,71.4,64.4,16,222,1.1,333.9,2621,15
2026-08-16 21:29:01,13,0.3,65.9,58.4,16,233,0.7,317.5,2485,26
2026-08-16 21:29:05,16,0.4,70.7,63.5,16,240,0.5,302.9,2506,33
2026-08-16 21:29:08,20,0.5,75.6,69.6,16,247,0.8,324.3,2507,40
2026-08-16 21:29:12,24,0.6,78.2,79.3,16,249,0.8,327.3,2486,40
2026-08-16 21:29:16,28,0.6,84.9,80.1,13,249,0.7,331.3,2479,40
2026-08-16 21:29:20,31,0.5,85.1,80.6,13,249,0.5,325.8,2485,40
2026-08-16 21:29:24,35,0.6,88.4,99.5,13,249,0.4,330.3,2475,40
2026-08-16 21:29:28,39,0.5,94,99.1,13,249,0.4,321.4,2473,40
2026-08-16 21:29:32,43,0.6,100.1,99.1,13,249,0.4,320.2,2554,40
2026-08-16 21:29:35,47,0.7,100.5,99.6,13,249,0.6,317.7,2553,40
2026-08-16 21:29:39,51,0.8,103.1,102.7,13,249,0.6,347.2,2536,40
2026-08-16 21:29:43,54,0.6,103.1,102.7,13,249,0.6,350.9,2503,40
2026-08-16 21:29:47,58,0.7,103,101.8,13,249,0.4,342.5,2483,40
2026-08-16 21:29:51,62,0.6,103.1,103,13,249,0.3,341.5,2509,40
2026-08-16 21:29:54,66,0.6,103.7,103.2,13,249,0.3,343.8,2492,40
2026-08-16 21:29:58,70,0.6,103.1,102.1,13,249,0.6,372.6,2379,40
2026-08-16 21:30:02,73,0.4,103.4,102.2,13,249,0.3,341.3,2422,40
2026-08-16 21:30:06,77,0.8,104,103.2,13,249,0.3,342.4,2393,40
2026-08-16 21:30:10,81,0.6,103.6,102.3,13,249,0.6,338.9,2557,40
2026-08-16 21:30:14,85,0.5,103.1,101.8,13,249,0.4,360.2,2554,40
2026-08-16 21:30:18,89,0.4,103.4,102.7,13,249,0.3,345.1,2571,40
2026-08-16 21:30:22,93,1.6,104.8,104.5,13,383,1.6,413.7,2466,234
2026-08-16 21:30:27,99,5.7,121,116,13,550,4.1,656.6,2221,340
2026-08-16 21:30:33,105,5.5,143,137.2,13,549,1.5,659,2276,340
2026-08-16 21:30:40,111,5.3,144.6,138.3,13,549,1.1,661.3,2285,340
2026-08-16 21:30:46,118,5.3,144.9,138.8,13,550,1.3,717.6,2215,340
2026-08-16 21:30:53,124,5.4,145.8,139.6,13,549,1.3,860.1,2124,340
2026-08-16 21:30:59,130,5.4,146,139.8,13,549,1,847.4,2025,340
2026-08-16 21:31:05,137,5.4,145.9,140.1,12,549,1.1,850.3,2017,340
2026-08-16 21:31:11,143,5.2,145.6,139.2,12,550,1,878.8,1989,340
2026-08-16 21:31:18,149,5.3,145.6,139.1,12,550,0.9,886,1976,340
2026-08-16 21:31:24,156,2.2,144.9,138.6,12,249,0.6,845.3,2045,40
2026-08-16 21:31:29,161,0.6,145.1,138.7,12,249,0.1,845.3,2131,40
2026-08-16 21:31:34,166,0.7,144.3,137.9,12,249,0.1,845.2,2142,40
2026-08-16 21:31:39,170,0.6,144.8,138.4,12,249,0.1,845.2,2208,40
2026-08-16 21:31:44,175,0.8,75,67.7,12,249,0.1,845.2,2209,40
2026-08-16 21:31:49,180,0.7,80.4,73.9,12,249,0.1,845.2,2194,40
2026-08-16 21:31:54,185,0.7,84.5,83.4,12,249,0.1,845.2,2188,40
2026-08-16 21:31:59,190,0.6,88.3,83.9,12,249,0.1,845.2,2090,40
2026-08-16 21:32:04,195,0.8,91.1,102.3,12,249,0.2,845.3,2089,40
2026-08-16 21:32:09,200,0.5,96.6,101.6,12,249,0.1,845.3,2097,40
2026-08-16 21:32:14,205,0.6,102.8,101.2,12,249,0.2,863.9,2065,40
2026-08-16 21:32:18,210,0.5,103.9,102.6,12,249,0.1,863.9,2079,40
2026-08-16 21:32:23,214,0.7,106.7,105.4,12,249,0.2,864.8,2072,40
2026-08-16 21:32:28,219,0.4,106.4,105,12,249,0.1,864.9,2106,40
2026-08-16 21:32:33,224,0.6,106.4,105.2,12,249,0.2,865.2,2139,40
2026-08-16 21:32:38,229,0.6,107.2,106,12,249,0.1,865.3,2137,40
2026-08-16 21:32:43,234,0.7,107.5,105.9,12,249,0.1,866.3,2122,40
2026-08-16 21:32:47,239,0.6,107.2,105.6,12,244,0,866.9,2145,20
