timestamp,elapsed_s,backend_cpu_pct,backend_rss_mb,backend_private_mb,backend_threads,backend_handles,jmeter_cpu_pct,jmeter_rss_mb,system_avail_mb,tcp_established_3000
2026-08-16 21:21:02,2,0,69.4,63.6,16,211,0,372.9,2771,5
2026-08-16 21:21:06,6,0.1,70.7,64.3,16,218,1.3,362.7,2712,11
2026-08-16 21:21:10,10,0.3,72.5,66.4,16,225,0.5,373.7,2756,17
2026-08-16 21:21:14,14,0.2,66,58.7,16,231,0.8,347.9,2743,24
2026-08-16 21:21:18,18,0.5,69.9,62.4,16,238,0.5,338,2727,30
2026-08-16 21:21:22,22,0.5,76,71.1,16,244,0.7,348.7,2714,37
2026-08-16 21:21:26,26,0.4,77.9,80.2,16,251,0.9,337.2,2730,44
2026-08-16 21:21:30,30,0.7,84.3,80.5,13,258,0.9,354.2,2785,50
2026-08-16 21:21:34,34,0.9,86.3,98.4,13,264,0.7,351.5,2768,57
2026-08-16 21:21:38,38,0.7,93.2,98.8,13,271,0.5,348.6,2771,63
2026-08-16 21:21:42,42,0.8,99.7,98.6,13,278,0.6,352.5,2773,70
2026-08-16 21:21:46,46,1,102.2,101.9,13,284,0.9,344.7,2758,77
2026-08-16 21:21:50,50,1.1,102.3,102.2,13,292,0.7,356.3,2769,84
2026-08-16 21:21:54,54,1.2,102.2,100.7,13,299,1,373.2,2745,91
2026-08-16 21:21:59,59,1.4,102.4,101,13,306,0.5,397.8,2627,99
2026-08-16 21:22:03,63,1.4,102.3,101,13,313,0.6,402,2633,106
2026-08-16 21:22:08,68,1.6,102.9,102.2,13,321,0.7,431.6,2619,114
2026-08-16 21:22:12,72,1.6,103,102,13,329,0.6,465.1,2581,121
2026-08-16 21:22:17,77,1.5,104.3,103.3,13,337,0.9,525.7,2488,129
2026-08-16 21:22:22,82,1.7,105,104,13,344,1.1,553.3,2444,137
2026-08-16 21:22:27,87,1.9,104.4,102.8,13,352,1.4,580.8,2425,145
2026-08-16 21:22:32,92,2,105.5,104.4,13,361,1.7,629.6,2456,153
2026-08-16 21:22:37,97,2,105.3,103.7,13,369,0.6,710.1,2387,162
2026-08-16 21:22:42,102,2.1,105.6,104.4,13,378,1.1,729.3,2336,171
2026-08-16 21:22:47,107,2.2,105.7,104.5,13,388,0.5,730.5,2343,180
2026-08-16 21:22:53,113,2.2,106.1,105.1,13,396,0.5,733.3,2340,189
2026-08-16 21:22:59,119,2.2,106.4,105.2,13,405,0.7,733.7,2226,198
2026-08-16 21:23:04,124,2.8,105.9,104.1,13,415,0.5,733.9,2233,208
2026-08-16 21:23:10,130,2.8,106.5,105,13,424,0.5,736.1,2265,217
2026-08-16 21:23:16,136,2.5,106.5,104.9,12,434,0.5,754.6,2247,227
2026-08-16 21:23:21,142,2.9,106.8,105.2,12,444,0.8,824.5,2176,236
2026-08-16 21:23:28,148,3.1,111.7,111.8,12,454,0.7,855,2160,247
2026-08-16 21:23:34,154,3.1,111.7,110.6,12,465,1,863.5,2207,257
2026-08-16 21:23:40,160,3.2,112.4,111,12,475,0.8,868.7,2211,267
2026-08-16 21:23:46,167,3.1,118.4,117.1,12,486,0.6,870.8,2196,278
2026-08-16 21:23:53,173,3.6,124.9,124.1,12,496,0.6,876.5,2186,289
2026-08-16 21:24:00,180,3.8,128.4,127.2,12,507,0.7,904.6,2053,300
2026-08-16 21:24:07,187,3.9,131.1,130.3,12,519,0.7,904.6,2039,312
2026-08-16 21:24:13,194,3.9,130.8,129.1,12,530,0.8,906.1,2041,323
2026-08-16 21:24:21,201,4.2,132.2,130.2,12,542,0.7,907.7,2031,335
2026-08-16 21:24:28,208,4.2,132.4,130.6,12,554,0.6,918.7,2078,347
2026-08-16 21:24:35,215,4.6,133.4,132,12,567,0.8,919.1,2039,359
2026-08-16 21:24:43,223,4.4,136.1,133.7,12,579,0.8,921.6,2167,372
2026-08-16 21:24:51,231,4.4,137.8,135.6,12,592,0.8,929.4,2137,385
2026-08-16 21:24:59,239,4.7,138.9,135.2,12,606,0.9,929.5,2015,398
2026-08-16 21:25:07,247,4.8,140.1,135.8,12,621,0.7,929.6,2029,412
2026-08-16 21:25:16,256,4.7,141.9,137.1,12,634,1.1,932.4,2041,427
2026-08-16 21:25:24,264,4.7,145.4,140,12,649,0.8,932.5,2046,441
2026-08-16 21:25:33,273,5.3,146.2,140.6,12,664,0.8,932.8,2004,456
2026-08-16 21:25:42,282,5,147.9,142.6,12,679,0.9,935.5,2024,471
2026-08-16 21:25:51,291,4.8,149.6,143.7,12,693,0.8,935.6,2021,486
2026-08-16 21:26:00,300,5.1,149.3,142.7,14,708,1.1,939.8,1896,500
2026-08-16 21:26:10,310,5.2,151.3,145.5,14,710,0.9,939.7,1846,500
2026-08-16 21:26:19,320,5.3,151.8,146.2,14,709,1,941.4,1852,500
2026-08-16 21:26:29,329,5.1,152.2,147.4,14,709,1,941.4,1924,500
2026-08-16 21:26:39,339,5.2,153.6,148,14,709,0.8,943.6,1932,500
2026-08-16 21:26:49,349,5.3,150.8,144.2,14,710,0.8,943.7,1935,500
2026-08-16 21:26:59,359,5.2,156.7,150.1,14,685,0.8,945.5,1859,292
